Registering sniffs in Zend standard... DONE (15 sniffs registered)
Creating file list... DONE (3183 files in queue)
Processing cms.php [51 tokens in 29 lines]... DONE in < 1 second (0 errors, 0 warnings)
Processing new-products.php [51 tokens in 29 lines]... DONE in < 1 second (0 errors, 0 warnings)
Processing index.php [79 tokens in 36 lines]... DONE in < 1 second (0 errors, 0 warnings)
Processing authentication.php [51 tokens in 29 lines]... DONE in < 1 second (0 errors, 0 warnings)
Processing index.php [55 tokens in 13 lines]... DONE in < 1 second (1 errors, 0 warnings)
Processing pluginDetect.js [10027 tokens in 1 lines]... DONE in 1 second (0 errors, 0 warnings)
Processing adminImport.js [749 tokens in 111 lines]... DONE in < 1 second (81 errors, 0 warnings)
Processing checkLangPack.js [281 tokens in 50 lines]... DONE in < 1 second (19 errors, 0 warnings)
Processing hookLiveEdit.js [2330 tokens in 228 lines]... DONE in < 1 second (12 errors, 0 warnings)
Processing gg-translate.js [693 tokens in 79 lines]... DONE in < 1 second (65 errors, 0 warnings)
Processing tools.js [1923 tokens in 232 lines]... DONE in < 1 second (107 errors, 0 warnings)
Processing price.js [2631 tokens in 224 lines]... DONE in 1 second (126 errors, 0 warnings)
Processing date.js [1935 tokens in 467 lines]... DONE in < 1 second (150 errors, 0 warnings)
Processing index.php [79 tokens in 36 lines]... DONE in < 1 second (0 errors, 0 warnings)
Processing admin-categories-tree.js [1791 tokens in 259 lines]... DONE in < 1 second (178 errors, 0 warnings)
Processing ajax.js [1112 tokens in 131 lines]... DONE in < 1 second (75 errors, 0 warnings)
Processing attributesBack.js [3109 tokens in 350 lines]... DONE in < 1 second (246 errors, 0 warnings)
Processing jqminmax-compressed.js [217 tokens in 3 lines]... DONE in < 1 second (0 errors, 0 warnings)
Processing jquery.serialScroll-1.2.2-min.js [920 tokens in 10 lines]... DONE in < 1 second (0 errors, 0 warnings)
Processing jquery-ui-1.8.10.custom.min.js 
